timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-13T14:05:47Z,control-plane,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,391169n,11864Ki
2025-04-13T14:05:47Z,control-plane,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,174782n,24984Ki
2025-04-13T14:05:47Z,control-plane,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,435286n,11772Ki
2025-04-13T14:05:47Z,data-plane,service-mesh-benchmark,fortio-client-77c9577658-flqg5,linkerd-proxy,195022878n,14600Ki
2025-04-13T14:05:47Z,data-plane,service-mesh-benchmark,fortio-server-69c46464d6-9rf85,linkerd-proxy,183897563n,14436Ki
2025-04-13T14:05:48Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1312625n,24448Ki
2025-04-13T14:05:48Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,354014n,4876Ki
2025-04-13T14:05:48Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,779328n,14320Ki
2025-04-13T14:05:48Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,99621n,20276Ki
2025-04-13T14:05:48Z,control-plane,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,166232n,17544Ki
2025-04-13T14:05:48Z,control-plane,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,391169n,11864Ki
2025-04-13T14:05:48Z,control-plane,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,174782n,24984Ki
2025-04-13T14:05:48Z,control-plane,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,435286n,11772Ki
2025-04-13T14:05:48Z,data-plane,service-mesh-benchmark,fortio-client-77c9577658-flqg5,linkerd-proxy,195022878n,14600Ki
2025-04-13T14:05:48Z,data-plane,service-mesh-benchmark,fortio-server-69c46464d6-9rf85,linkerd-proxy,183897563n,14436Ki
2025-04-13T14:05:49Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1312625n,24448Ki
2025-04-13T14:05:49Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,354014n,4876Ki
2025-04-13T14:05:49Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,779328n,14320Ki
2025-04-13T14:05:49Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,99621n,20276Ki
2025-04-13T14:05:49Z,control-plane,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,166232n,17544Ki
2025-04-13T14:05:49Z,control-plane,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,391169n,11864Ki
2025-04-13T14:05:49Z,control-plane,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,174782n,24984Ki
2025-04-13T14:05:49Z,control-plane,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,435286n,11772Ki
2025-04-13T14:05:49Z,data-plane,service-mesh-benchmark,fortio-client-77c9577658-flqg5,linkerd-proxy,195022878n,14600Ki
2025-04-13T14:05:49Z,data-plane,service-mesh-benchmark,fortio-server-69c46464d6-9rf85,linkerd-proxy,183897563n,14436Ki
2025-04-13T14:05:51Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1312625n,24448Ki
2025-04-13T14:05:51Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,354014n,4876Ki
2025-04-13T14:05:51Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,779328n,14320Ki
2025-04-13T14:05:51Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,99621n,20276Ki
2025-04-13T14:05:51Z,control-plane,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,166232n,17544Ki
2025-04-13T14:05:51Z,control-plane,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,391169n,11864Ki
2025-04-13T14:05:51Z,control-plane,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,174782n,24984Ki
2025-04-13T14:05:51Z,control-plane,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,435286n,11772Ki
2025-04-13T14:05:51Z,data-plane,service-mesh-benchmark,fortio-client-77c9577658-flqg5,linkerd-proxy,195022878n,14600Ki
2025-04-13T14:05:51Z,data-plane,service-mesh-benchmark,fortio-server-69c46464d6-9rf85,linkerd-proxy,183897563n,14436Ki
2025-04-13T14:05:52Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1312625n,24448Ki
2025-04-13T14:05:52Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,354014n,4876Ki
2025-04-13T14:05:52Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,779328n,14320Ki
2025-04-13T14:05:52Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,99621n,20276Ki
2025-04-13T14:05:52Z,control-plane,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,166232n,17544Ki
2025-04-13T14:05:52Z,control-plane,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,391169n,11864Ki
2025-04-13T14:05:52Z,control-plane,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,174782n,24984Ki
2025-04-13T14:05:52Z,control-plane,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,435286n,11772Ki
2025-04-13T14:05:52Z,data-plane,service-mesh-benchmark,fortio-client-77c9577658-flqg5,linkerd-proxy,195022878n,14600Ki
2025-04-13T14:05:52Z,data-plane,service-mesh-benchmark,fortio-server-69c46464d6-9rf85,linkerd-proxy,183897563n,14436Ki
2025-04-13T14:05:53Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1312625n,24448Ki
2025-04-13T14:05:53Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,354014n,4876Ki
2025-04-13T14:05:53Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,779328n,14320Ki
2025-04-13T14:05:53Z,control-plane,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,99621n,20276Ki
2025-04-13T14:05:53Z,control-plane,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,166232n,17544Ki
2025-04-13T14:05:53Z,control-plane,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,391169n,11864Ki
2025-04-13T14:05:53Z,control-plane,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,174782n,24984Ki
2025-04-13T14:05:53Z,control-plane,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,435286n,11772Ki
2025-04-13T14:05:53Z,data-plane,service-mesh-benchmark,fortio-client-77c9577658-flqg5,linkerd-proxy,195022878n,14600Ki
2025-04-13T14:05:53Z,data-plane,service-mesh-benchmark,fortio-server-69c46464d6-9rf85,linkerd-proxy,183897563n,14436Ki
